,KODEX 200,TIGER KOSDAQ150,TIGER S&P500,TIGER SYNTH-EURO STOXX 50(H),ACE Japan Nikkei225(H),TIGER CHINA A300,KOSEF 10YKTB,KBSTAR Credit,TIGER SYNTH-HY(H),KODEX Gold Futures(H),TIGER WTI Futures,KODEX INVERSE,KODEX USD Futures,KODEX USD Futures Inverse,KOSEF Enhanced Cash
KODEX 200,1.0,0.8752766407311855,0.8816011098424954,0.6696113786110245,0.8943526546668074,0.8491744446895275,0.48459644402186425,0.5839172259920989,0.8816598525379037,0.1948162411207598,0.027699221320281422,-0.972279098845426,-0.9074656346313282,0.8948990060074304,-0.2132920883805599
TIGER KOSDAQ150,0.8752766407311855,1.0,0.7373945026481037,0.5599676374061018,0.8260524095606304,0.7664069871918058,0.718227074475187,0.7876087589370393,0.7655933920820807,0.48125076855762483,-0.28023426862242656,-0.899114674293347,-0.8792684407054341,0.8896437538953833,0.09559262433518811
TIGER S&P500,0.8816011098424954,0.7373945026481037,1.0,0.77563462117048,0.7820897597321989,0.7151666785197481,0.37916469624202326,0.4358702765295195,0.9231944533572763,0.0748853074999808,0.3293550924130364,-0.8739503067953003,-0.7733914246310051,0.7334395422350909,-0.3721730075603629
TIGER SYNTH-EURO STOXX 50(H),0.6696113786110245,0.5599676374061018,0.77563462117048,1.0,0.7900897255382461,0.33452739760225814,0.41151981328535947,0.5610012413438488,0.8970794456557356,-0.1995533962929585,0.2398758958999498,-0.6471664464408418,-0.5670955821106706,0.585263587156206,0.09335499102597018
ACE Japan Nikkei225(H),0.8943526546668074,0.8260524095606304,0.7820897597321989,0.7900897255382461,1.0,0.640114186658011,0.4796919062777267,0.6480071279994797,0.8730729578569117,0.04989313427318672,-0.025012550812500024,-0.8396366335686993,-0.7727490861369469,0.8003531272124336,0.06354202798169752
TIGER CHINA A300,0.8491744446895275,0.7664069871918058,0.7151666785197481,0.33452739760225814,0.640114186658011,1.0,0.4384915438386745,0.4287002260361095,0.6073662118308363,0.3635500236921609,-0.06958596965586132,-0.8552380779713679,-0.7971430115684055,0.7473858626448524,-0.39136101506749155
KOSEF 10YKTB,0.48459644402186425,0.718227074475187,0.37916469624202326,0.41151981328535947,0.4796919062777267,0.4384915438386745,1.0,0.9229602698694187,0.5017213922077057,0.5532194604614717,-0.5956969857970109,-0.6006211241419593,-0.6686735818304411,0.691454484386746,0.4597841099318633
KBSTAR Credit,0.5839172259920989,0.7876087589370393,0.4358702765295195,0.5610012413438488,0.6480071279994797,0.4287002260361095,0.9229602698694187,1.0,0.6213877453159418,0.4432508599817306,-0.5468200862474055,-0.6594145885939982,-0.7184957276494592,0.7756581179149659,0.5720234000177898
TIGER SYNTH-HY(H),0.8816598525379037,0.7655933920820807,0.9231944533572763,0.8970794456557356,0.8730729578569117,0.6073662118308363,0.5017213922077057,0.6213877453159418,1.0,0.05073794185368798,0.1882386063039212,-0.8607277148173317,-0.8009227204507904,0.8036087878626156,-0.07040583541168002
KODEX Gold Futures(H),0.1948162411207598,0.48125076855762483,0.0748853074999808,-0.1995533962929585,0.04989313427318672,0.3635500236921609,0.5532194604614717,0.4432508599817306,0.05073794185368798,1.0,-0.5085313396624531,-0.2707991535991956,-0.44621367377738275,0.4521826720679886,0.21357699967796503
TIGER WTI Futures,0.027699221320281422,-0.28023426862242656,0.3293550924130364,0.2398758958999498,-0.025012550812500024,-0.06958596965586132,-0.5956969857970109,-0.5468200862474055,0.1882386063039212,-0.5085313396624531,1.0,0.06606841492461427,0.1650075390365561,-0.2216678053819421,-0.6440810782660387
KODEX INVERSE,-0.972279098845426,-0.899114674293347,-0.8739503067953003,-0.6471664464408418,-0.8396366335686993,-0.8552380779713679,-0.6006211241419593,-0.6594145885939982,-0.8607277148173317,-0.2707991535991956,0.06606841492461427,1.0,0.9318013895963015,-0.9096404445118871,0.17468891569904071
KODEX USD Futures,-0.9074656346313282,-0.8792684407054341,-0.7733914246310051,-0.5670955821106706,-0.7727490861369469,-0.7971430115684055,-0.6686735818304411,-0.7184957276494592,-0.8009227204507904,-0.44621367377738275,0.1650075390365561,0.9318013895963015,1.0,-0.9891872136558879,0.046895865446651065
KODEX USD Futures Inverse,0.8948990060074304,0.8896437538953833,0.7334395422350909,0.585263587156206,0.8003531272124336,0.7473858626448524,0.691454484386746,0.7756581179149659,0.8036087878626156,0.4521826720679886,-0.2216678053819421,-0.9096404445118871,-0.9891872136558879,1.0,0.07080880762966722
KOSEF Enhanced Cash,-0.2132920883805599,0.09559262433518811,-0.3721730075603629,0.09335499102597018,0.06354202798169752,-0.39136101506749155,0.4597841099318633,0.5720234000177898,-0.07040583541168002,0.21357699967796503,-0.6440810782660387,0.17468891569904071,0.046895865446651065,0.07080880762966722,1.0
